species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,bill_ratio,body_prop
Adelie,Torgersen,39.1,18.7,181.0,3750.0,Male,2.0909090909090913,0.048266666666666666
Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female,2.270114942528736,0.04894736842105263
Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female,2.238888888888889,0.06
Adelie,Torgersen,36.7,19.3,193.0,3450.0,Female,1.9015544041450778,0.05594202898550724
Adelie,Torgersen,39.3,20.6,190.0,3650.0,Male,1.907766990291262,0.052054794520547946
Adelie,Torgersen,38.9,17.8,181.0,3625.0,Female,2.185393258426966,0.049931034482758624
Adelie,Torgersen,39.2,19.6,195.0,4675.0,Male,2.0,0.04171122994652406
Adelie,Torgersen,34.1,18.1,193.0,3475.0,,1.8839779005524862,0.05553956834532374
Adelie,Torgersen,42.0,20.2,190.0,4250.0,,2.0792079207920793,0.04470588235294118
Adelie,Torgersen,37.8,17.1,186.0,3300.0,,2.2105263157894735,0.056363636363636366
Adelie,Torgersen,37.8,17.3,180.0,3700.0,,2.184971098265896,0.04864864864864865
Adelie,Torgersen,41.1,17.6,182.0,3200.0,Female,2.3352272727272725,0.056875
Adelie,Torgersen,38.6,21.2,191.0,3800.0,Male,1.8207547169811322,0.05026315789473684
Adelie,Torgersen,34.6,21.1,198.0,4400.0,Male,1.6398104265402844,0.045
Adelie,Torgersen,36.6,17.8,185.0,3700.0,Female,2.056179775280899,0.05
Adelie,Torgersen,38.7,19.0,195.0,3450.0,Female,2.0368421052631582,0.05652173913043478
Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male,2.0531400966183577,0.04377777777777778
Adelie,Torgersen,34.4,18.4,184.0,3325.0,Female,1.8695652173913044,0.05533834586466165
Adelie,Torgersen,46.0,21.5,194.0,4200.0,Male,2.13953488372093,0.04619047619047619
Adelie,Biscoe,37.8,18.3,174.0,3400.0,Female,2.065573770491803,0.051176470588235295
Adelie,Biscoe,37.7,18.7,180.0,3600.0,Male,2.016042780748663,0.05
Adelie,Biscoe,35.9,19.2,189.0,3800.0,Female,1.8697916666666667,0.049736842105263156
Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male,2.110497237569061,0.04683544303797468
Adelie,Biscoe,38.8,17.2,180.0,3800.0,Male,2.255813953488372,0.04736842105263158
Adelie,Biscoe,35.3,18.9,187.0,3800.0,Female,1.8677248677248677,0.049210526315789475
Adelie,Biscoe,40.6,18.6,183.0,3550.0,Male,2.182795698924731,0.05154929577464789
Adelie,Biscoe,40.5,17.9,187.0,3200.0,Female,2.2625698324022347,0.0584375
Adelie,Biscoe,37.9,18.6,172.0,3150.0,Female,2.0376344086021505,0.054603174603174605
Adelie,Biscoe,40.5,18.9,180.0,3950.0,Male,2.1428571428571432,0.04556962025316456
Adelie,Dream,39.5,16.7,178.0,3250.0,Female,2.3652694610778444,0.05476923076923077
Adelie,Dream,37.2,18.1,178.0,3900.0,Male,2.0552486187845305,0.045641025641025644
Adelie,Dream,39.5,17.8,188.0,3300.0,Female,2.2191011235955056,0.05696969696969697
Adelie,Dream,40.9,18.9,184.0,3900.0,Male,2.164021164021164,0.04717948717948718
Adelie,Dream,36.4,17.0,195.0,3325.0,Female,2.1411764705882352,0.058646616541353384
Adelie,Dream,39.2,21.1,196.0,4150.0,Male,1.8578199052132702,0.047228915662650604
Adelie,Dream,38.8,20.0,190.0,3950.0,Male,1.94,0.04810126582278481
Adelie,Dream,42.2,18.5,180.0,3550.0,Female,2.2810810810810813,0.05070422535211268
Adelie,Dream,37.6,19.3,181.0,3300.0,Female,1.9481865284974094,0.05484848484848485
Adelie,Dream,39.8,19.1,184.0,4650.0,Male,2.083769633507853,0.03956989247311828
Adelie,Dream,36.5,18.0,182.0,3150.0,Female,2.0277777777777777,0.057777777777777775
Adelie,Dream,40.8,18.4,195.0,3900.0,Male,2.217391304347826,0.05
Adelie,Dream,36.0,18.5,186.0,3100.0,Female,1.945945945945946,0.06
Adelie,Dream,44.1,19.7,196.0,4400.0,Male,2.238578680203046,0.04454545454545455
Adelie,Dream,37.0,16.9,185.0,3000.0,Female,2.1893491124260356,0.06166666666666667
Adelie,Dream,39.6,18.8,190.0,4600.0,Male,2.106382978723404,0.041304347826086954
Adelie,Dream,41.1,19.0,182.0,3425.0,Male,2.1631578947368424,0.053138686131386864
Adelie,Dream,37.5,18.9,179.0,2975.0,,1.9841269841269842,0.060168067226890755
Adelie,Dream,36.0,17.9,190.0,3450.0,Female,2.011173184357542,0.05507246376811594
Adelie,Dream,42.3,21.2,191.0,4150.0,Male,1.9952830188679245,0.04602409638554217
Adelie,Biscoe,39.6,17.7,186.0,3500.0,Female,2.2372881355932206,0.053142857142857144
Adelie,Biscoe,40.1,18.9,188.0,4300.0,Male,2.121693121693122,0.04372093023255814
Adelie,Biscoe,35.0,17.9,190.0,3450.0,Female,1.9553072625698324,0.05507246376811594
Adelie,Biscoe,42.0,19.5,200.0,4050.0,Male,2.1538461538461537,0.04938271604938271
Adelie,Biscoe,34.5,18.1,187.0,2900.0,Female,1.9060773480662982,0.06448275862068965
Adelie,Biscoe,41.4,18.6,191.0,3700.0,Male,2.225806451612903,0.05162162162162162
Adelie,Biscoe,39.0,17.5,186.0,3550.0,Female,2.2285714285714286,0.0523943661971831
Adelie,Biscoe,40.6,18.8,193.0,3800.0,Male,2.1595744680851063,0.05078947368421052
Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female,2.1987951807228914,0.06350877192982456
Adelie,Biscoe,37.6,19.1,194.0,3750.0,Male,1.9685863874345548,0.05173333333333333
Adelie,Biscoe,35.7,16.9,185.0,3150.0,Female,2.112426035502959,0.05873015873015873
Adelie,Biscoe,41.3,21.1,195.0,4400.0,Male,1.9573459715639807,0.04431818181818182
Adelie,Biscoe,37.6,17.0,185.0,3600.0,Female,2.211764705882353,0.05138888888888889
Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male,2.258241758241758,0.047407407407407405
Adelie,Biscoe,36.4,17.1,184.0,2850.0,Female,2.1286549707602336,0.06456140350877193
Adelie,Biscoe,41.6,18.0,192.0,3950.0,Male,2.3111111111111113,0.04860759493670886
Adelie,Biscoe,35.5,16.2,195.0,3350.0,Female,2.191358024691358,0.058208955223880594
Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male,2.1518324607329844,0.045853658536585365
Adelie,Torgersen,35.9,16.6,190.0,3050.0,Female,2.1626506024096384,0.06229508196721312
Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male,2.154639175257732,0.04449438202247191
Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female,1.763157894736842,0.05277777777777778
Adelie,Torgersen,39.7,18.4,190.0,3900.0,Male,2.1576086956521743,0.04871794871794872
Adelie,Torgersen,39.6,17.2,196.0,3550.0,Female,2.302325581395349,0.0552112676056338
Adelie,Torgersen,45.8,18.9,197.0,4150.0,Male,2.4232804232804233,0.047469879518072286
Adelie,Torgersen,35.5,17.5,190.0,3700.0,Female,2.0285714285714285,0.051351351351351354
Adelie,Torgersen,42.8,18.5,195.0,4250.0,Male,2.3135135135135134,0.04588235294117647
Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female,2.4345238095238093,0.05162162162162162
